CITY_AREA,parcel_acres,residential_units_2019,sf_units_2019,mf_units_2019,ind_jobs_2019,rtl_jobs_2019,off_jobs_2019,ttl_jobs_2019,residential_units_2050,sf_units_2050,mf_units_2050,ind_jobs_2050,rtl_jobs_2050,off_jobs_2050,ttl_jobs_2050
Alpine,4691.480000000025,2940,2878,62,188,162,1355,1705,3287,3225,62,190,152,1378,1720
American Fork,8031.080000000305,10856,7149,3707,2417,6627,16639,25683,16674,10746,5928,3461,6929,21416,31806
Benjamin,4203.740000000008,311,293,18,13,15,58,86,7310,7295,15,13,270,240,523
Bluffdale,5513.880000000025,4936,3202,1734,1205,246,2127,3578,11715,5054,6661,956,1290,5046,7292
Bountiful,7180.449999999762,16057,11514,4543,869,3225,13800,17894,22034,14833,7201,606,3525,14545,18676
Camp Williams,8.38,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Cedar Fort,8464.090000000062,158,158,0,10,59,49,118,7171,7171,0,52,307,532,891
Cedar Hills,1525.420000000005,2724,2415,309,53,365,842,1260,2866,2556,310,58,355,963,1376
Centerville,2925.310000000001,6369,4097,2272,891,2954,5347,9192,9618,4804,4814,940,2422,5331,8693
Clearfield,4075.99999999982,11224,5867,5357,8358,1618,11846,21822,20126,3447,16679,9408,3530,19396,32334
Clinton,3052.9800000000273,7010,6564,446,190,2163,2612,4965,12540,8394,4146,207,3159,4391,7757
Copperton,320.94,313,267,46,89,2,183,274,367,301,66,111,2,246,359
Cottonwood Heights,4540.659999999851,13634,9811,3823,941,3980,18178,23099,18365,11667,6698,880,6473,20589,27942
Davis County,1958.699999999998,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Deer Ridge,3161.4600000000223,4,4,0,0,0,0,0,89,77,12,0,0,0,0
Draper,13064.13999999968,16984,10429,6555,5918,9422,30395,45735,32715,13433,19282,5119,12945,57044,75108
Eagle Mountain,40502.59000000077,10776,9154,1622,480,1211,1882,3573,47057,39170,7887,1977,16911,50373,69261
Eastside Mountains,1648.6400000000008,9,9,0,0,0,0,0,61,61,0,0,0,3,3
Elberta,28514.869999999984,68,56,12,1,2,4,7,68,56,12,1,2,5,8
Elk Ridge,1461.3199999999974,1059,1031,28,15,10,31,56,1183,1118,65,25,48,238,311
Fairfield,8033.430000000047,56,56,0,1,3,24,28,1721,1721,0,75,862,2003,2940
Farmington,5953.259999999963,7653,5766,1887,248,2721,11645,14614,16997,10896,6101,378,4243,16114,20735
Farr West,3589.6499999999824,2496,2167,329,3970,456,1868,6294,4247,3685,562,4082,498,2327,6907
Fruit Heights,1186.1299999999917,2056,1646,410,7,32,415,454,3056,2612,444,7,62,489,558
Genola,8285.590000000038,418,397,21,35,16,35,86,746,726,20,51,19,74,144
Goshen,9342.750000000005,373,260,113,1,218,113,332,373,260,113,1,253,141,395
Harrisville,1671.9499999999978,2316,1728,588,58,922,1273,2253,3437,2044,1393,137,1325,2009,3471
Herriman,10943.939999999888,16436,9820,6616,860,1132,1902,3894,41941,26236,15705,1606,3973,13478,19057
Highland,5212.170000000062,4381,4161,220,131,664,1813,2608,6135,5694,441,161,750,2441,3352
Holladay,4460.95999999994,12325,8522,3803,728,1748,10298,12774,15915,10456,5459,686,2031,12232,14949
Hooper,6827.45000000004,2685,2669,16,81,29,162,272,6550,6514,36,79,31,234,344
Kaysville,6263.569999999894,9477,8585,892,1346,1866,9058,12270,15680,12917,2763,1163,2719,12067,15949
Kearns,2166.2400000003704,9653,8989,664,572,856,2871,4299,10756,9854,902,845,1227,3668,5740
Lake Mountain,23109.28,0,0,0,0,0,0,0,106,106,0,0,0,0,0
Lake Shore,8287.150000000005,278,265,13,26,43,87,156,4310,4295,15,12,198,212,422
Layton,14521.219999999883,28070,19713,8357,3599,9546,18232,31377,48411,28569,19842,3412,12307,33356,49075
Lehi,17968.68000000083,22208,16745,5463,5370,8760,35242,49372,35572,25477,10095,7497,11436,67969,86902
Lindon,3419.0000000000355,3060,2520,540,3140,1901,7485,12526,3361,2791,570,3445,1976,9736,15157
Magna,3463.679999999925,8919,7222,1697,553,915,2033,3501,17926,10013,7913,806,859,2682,4347
Mapleton,6312.250000000016,3306,3169,137,337,319,1689,2345,8108,7588,520,454,1294,4061,5809
Marriott-Slaterville,4196.420000000013,694,601,93,479,636,1129,2244,1960,1863,97,620,809,1519,2948
Midvale,3115.790000000024,15736,5247,10489,3482,6235,15699,25416,21785,6521,15264,3363,8466,19600,31429
Mill Creek,6106.369999999612,26737,14288,12449,2114,5327,27761,35202,33351,16735,16616,1928,4504,30780,37212
Mosida,10763.920000000206,2,2,0,0,0,0,0,1445,1445,0,0,0,0,0
Murray,6245.619999999586,21715,10736,10979,4154,9530,43031,56715,31727,12737,18990,3259,11007,50421,64687
North Goshen Valley,18291.700000000066,15,8,7,0,0,0,0,15,8,7,0,0,0,0
North Ogden,4625.529999999996,7241,6056,1185,26,1029,2032,3087,15773,11208,4565,99,1620,3291,5010
North Salt Lake,5436.499999999864,7840,4677,3163,6690,1187,7243,15120,10113,6236,3877,7006,1596,9083,17685
Ogden,13590.219999999716,33887,20219,13668,15260,10790,50079,76129,42706,24766,17940,15195,11228,59516,85939
Orem,10886.689999999948,30296,17066,13230,5627,13574,42969,62170,37538,20688,16850,5806,12769,46314,64889
Palmyra,4196.980000000017,123,120,3,0,0,0,0,7231,7200,31,1,23,31,55
Payson,16893.71000000001,6888,5314,1574,1723,3048,4598,9369,20264,15313,4951,2055,5920,9768,17743
Plain City,7936.300000000017,2562,2514,48,20,177,422,619,8705,8343,362,98,218,809,1125
Pleasant Grove,5198.740000000064,11079,6915,4164,1425,2495,14406,18326,11397,7126,4271,1539,2384,15350,19273
Pleasant View,4349.589999999977,3402,2372,1030,979,262,1710,2951,6005,4126,1879,1658,666,3036,5360
Provo,14943.579999999885,34266,14529,19737,5050,10246,71954,87250,51795,23820,27975,5566,11026,87907,104499
Riverdale,2170.990000000032,3227,1755,1472,198,4637,3990,8825,4708,2341,2367,2117,7019,11416,20552
Riverton,6767.529999999716,12698,10504,2194,534,3640,7388,11562,21533,15136,6397,564,5507,13009,19080
Roy,3992.5399999999154,13522,10961,2561,195,2103,6509,8807,14742,11270,3472,417,2265,8088,10770
SL County East Cyns,5908.650000000009,2,2,0,48,1,617,666,3,3,0,45,1,629,675
SL County West,40182.14999999982,294,288,6,1123,15,1133,2271,6717,2226,4491,1203,1862,4523,7588
Salem,9023.230000000045,2851,2574,277,554,1254,2434,4242,12813,10889,1924,1544,2362,15496,19402
Salt Lake City,49544.8800000088,90976,39871,51105,68889,43329,236397,348615,127621,45441,82180,91160,59964,382208,533332
Sandy,13356.459999999694,36638,27331,9307,5110,12799,44455,62364,49008,31134,17874,3740,15595,53295,72630
Santaquin,10515.760000000102,3857,3346,511,251,782,806,1839,5313,4208,1105,314,1028,1811,3153
Saratoga Springs,16976.08999999959,9676,7330,2346,304,2142,3127,5573,32591,21504,11087,433,3805,11574,15812
South Cedar Valley,15278.040000000417,0,0,0,64,75,20,159,69,69,0,73,83,44,200
South Goshen Valley,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Jordan,12065.159999999874,26218,18162,8056,5469,7812,23717,36998,50608,26575,24033,8816,10804,57212,76832
South Ogden,3020.3400000000256,7889,5116,2773,124,1789,6517,8430,9064,6060,3004,110,1949,7909,9968
South Salt Lake,3507.349999999926,11818,3589,8229,13207,7412,25616,46235,17564,4697,12867,11840,7801,30796,50437
South Weber,2546.740000000003,2352,2117,235,96,62,551,709,4190,3843,347,111,336,2034,2481
Spanish Fork,13717.280000000083,11877,9391,2486,3778,5239,12067,21084,34449,20557,13892,5305,9048,22411,36764
Springville,9773.759999999962,10360,6760,3600,5283,4066,9255,18604,21443,15334,6109,6037,7547,15484,29068
Sunset,761.3599999999993,2037,1557,480,210,344,6039,6593,3114,1722,1392,1078,495,10048,11621
Syracuse,7345.309999999861,9140,8690,450,467,1566,3244,5277,20586,11942,8644,631,2792,7188,10611
Taylorsville,5546.259999999395,21476,13477,7999,1219,4485,17373,23077,25189,15323,9866,1211,6388,21940,29539
Uintah,679.6600000000001,423,345,78,65,120,531,716,594,516,78,67,135,637,839
Unincorporated,29.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated HAFB,5602.0,425,0,425,453,291,25881,26625,425,0,425,980,252,30792,32024
Utah Lake,14633.670000000002,0,0,0,0,0,0,0,38,38,0,8,2,10,20
Vineyard,2764.9099999999735,4492,1614,2878,746,319,1816,2881,14026,2312,11714,2079,567,8843,11489
Washington Terrace,1553.8000000001216,3809,2652,1157,12,55,3215,3282,4567,3189,1378,19,117,4072,4208
Weber County,34096.78999999932,1562,1547,15,333,10,37,380,15755,15229,526,1096,23,979,2098
Weber County East Mountains,102.76,0,0,0,0,0,0,0,6,6,0,0,0,0,0
West Bountiful,2588.500000000014,1894,1709,185,263,1160,1203,2626,3519,3127,392,271,1232,1406,2909
West Haven,6320.949999999959,6204,3652,2552,1613,514,2530,4657,12653,6428,6225,1944,645,4108,6697
West Jordan,18857.410000000003,36579,26592,9987,7317,9501,23291,40109,60010,43108,16902,9347,12720,40980,63047
West Mountain,8237.180000000024,0,0,0,0,0,0,0,1,1,0,0,0,0,0
West Mountain Town,2855.38,46,44,2,0,0,0,0,53,51,2,0,0,0,0
West Point,6276.010000000064,3499,3301,198,171,484,1006,1661,13740,10802,2938,297,2286,5679,8262
West Valley City,22814.799999997398,43723,29098,14625,21154,12756,45838,79748,60664,38838,21826,21942,15196,56489,93627
Westside Mountains,5258.140000000084,0,0,0,0,0,0,0,329,329,0,0,0,0,0
White City,504.2299999999989,1872,1805,67,21,86,641,748,2100,2033,67,21,103,676,800
Woodland Hills,1617.1800000000014,472,472,0,0,0,0,0,637,637,0,0,0,0,0
Woods Cross,3022.919999999853,3729,2736,993,1641,1708,4166,7515,8466,3594,4872,1917,2174,5513,9604
