,Year,AreaName,residential_units,job_spaces,county_id
0,2019,12600 South Mountain View Corridor,1.0,64.0,140.0
1,2019,21st and 21st,180.0,484.0,1820.0
2,2019,2300 East 3300 South,10.0,313.0,735.0
3,2019,2600 South Center,269.0,6473.0,737.0
4,2019,2700 South Station,239.0,1464.0,3640.0
5,2019,4100 South Redwood,0.0,877.0,1925.0
6,2019,4800 South Redwood,7.0,564.0,1190.0
7,2019,5400 South Redwood,429.0,2367.0,2730.0
8,2019,7th Street Sandy Point,58.0,458.0,1365.0
9,2019,900 East Station,5.0,368.0,1190.0
10,2019,9th and 9th Center,43.0,367.0,2485.0
11,2019,Alta Canyon Park Center,0.0,1684.0,945.0
12,2019,Antelope & Main Town Center,153.0,1032.0,308.0
13,2019,Ballpark,1557.0,9884.0,31745.0
14,2019,Bingham Junction,1760.0,5370.0,3185.0
15,2019,Bountiful 200 West,116.0,462.0,572.0
16,2019,Bountiful 500 South,302.0,1804.0,737.0
17,2019,Bountiful Downtown,150.0,1307.0,1309.0
18,2019,Business Depot Ogden,34.0,7643.0,5814.0
19,2019,Canyon Rim Center,0.0,818.0,455.0
20,2019,Centerville Downtown,718.0,4578.0,2310.0
21,2019,Church & Hwy 193 Town Center,120.0,343.0,187.0
22,2019,Clinton Town Center,379.0,3141.0,2400.0
23,2019,Copperton Community Center,16.0,3.0,70.0
24,2019,Cottonwood Heights Fort Union,278.0,2412.0,4340.0
25,2019,Cottonwood Village,76.0,1127.0,280.0
26,2019,Courthouse Downtown,114.0,186.0,726.0
27,2019,Daybreak,0.0,674.0,455.0
28,2019,Decker Lake Center,425.0,863.0,175.0
29,2019,Downtown Clearfield,1707.0,2585.0,3586.0
30,2019,Downtown Kaysville,471.0,2975.0,1749.0
31,2019,Downtown Riverton,316.0,1399.0,4865.0
32,2019,Downtown South Salt Lake,243.0,6253.0,9975.0
33,2019,Draper City Center,83.0,2976.0,4900.0
34,2019,Draper Kimballs Lane Station,56.0,102.0,945.0
35,2019,East Antelope Center,422.0,1083.0,748.0
36,2019,East Gate Business Center,5.0,743.0,616.0
37,2019,East Park Lane,1.0,554.0,99.0
38,2019,Fairbourne Station,440.0,2093.0,3010.0
39,2019,Farr West 2700 North,9.0,106.0,684.0
40,2019,Fashion Place West,437.0,4627.0,18305.0
41,2019,Fireclay Center,991.0,651.0,2310.0
42,2019,Five Points,764.0,2678.0,11229.0
43,2019,Fore Lakes Center,1013.0,530.0,700.0
44,2019,Fort Union Canyon Center,19.0,167.0,455.0
45,2019,Foxboro,266.0,662.0,176.0
46,2019,Freeport Center,18.0,7179.0,957.0
47,2019,Gardner Village,280.0,495.0,210.0
48,2019,Gateway Crossing,283.0,714.0,517.0
49,2019,Gentile & Fairfield Town Center,447.0,391.0,396.0
50,2019,Glendale Center,0.0,78.0,35.0
51,2019,Gordon & Fairfield Town Center,53.0,312.0,385.0
52,2019,Granary District,861.0,4977.0,14490.0
53,2019,Harrisville US 89,16.0,11.0,855.0
54,2019,Herriman Porter Rockwell Center,0.0,78.0,175.0
55,2019,Herriman Town Center,955.0,1092.0,12320.0
56,2019,Highberry Center,809.0,3250.0,1785.0
57,2019,Highlands Loop Center,765.0,583.0,560.0
58,2019,Highline,549.0,1085.0,700.0
59,2019,Historic Magna Main Street,41.0,298.0,2205.0
60,2019,Historic Sandy Station,164.0,253.0,4585.0
61,2019,Holladay City Center,169.0,3024.0,4725.0
62,2019,Holladay Crossroads,0.0,491.0,875.0
63,2019,Hunter Town Center,21.0,475.0,1575.0
64,2019,Hwy 89 & Gordon Town Center,0.0,4.0,22.0
65,2019,Independence,1161.0,1336.0,28770.0
66,2019,International Center,0.0,18664.0,5250.0
67,2019,Ivy Place Center,1.0,1273.0,525.0
68,2019,Jones Ranch,18.0,0.0,35.0
69,2019,Jordan Bluffs,581.0,0.0,70.0
70,2019,Jordan Landing,0.0,4911.0,2870.0
71,2019,Jordan Valley,420.0,286.0,1890.0
72,2019,Kaysville Business Park,14.0,2119.0,682.0
73,2019,Kearns Town Center,0.0,717.0,875.0
74,2019,Kearns Warehouse District,0.0,546.0,2135.0
75,2019,Lake Park Center,0.0,6609.0,455.0
76,2019,Layton Downtown,807.0,1646.0,1661.0
77,2019,Layton Industrial Center,3.0,2859.0,891.0
78,2019,Layton Midtown,3184.0,9914.0,6182.0
79,2019,Legacy Crossing,388.0,1209.0,165.0
80,2019,Legacy Gateway,91.0,243.0,286.0
81,2019,Lone Peak Parkway Employment Center,27.0,10222.0,4480.0
82,2019,Marketview Center,173.0,5.0,245.0
83,2019,Marmalade,1780.0,1649.0,9870.0
84,2019,Marriott-Slaterville Employment District,7.0,42.0,456.0
85,2019,Meadowbrook Station,660.0,4050.0,11270.0
86,2019,Midvale Center Station,635.0,369.0,1155.0
87,2019,Midvale Fort Union Station,119.0,561.0,385.0
88,2019,Midvale Main Street,228.0,863.0,9065.0
89,2019,Millcreek 2300 East,0.0,43.0,175.0
90,2019,Millcreek City Center,207.0,1863.0,4515.0
91,2019,Millcreek Station,166.0,1770.0,7490.0
92,2019,Millrock Employment Center,0.0,10903.0,2415.0
93,2019,Mountain View Village,0.0,569.0,175.0
94,2019,Murray Downtown,1106.0,9942.0,24150.0
95,2019,Murray Industrial District,18.0,874.0,5600.0
96,2019,Murray Medical Park,59.0,635.0,3535.0
97,2019,Newgate Center,592.0,10361.0,36822.0
98,2019,North Ogden Downtown,199.0,1436.0,9177.0
99,2019,North Ogden Southtown,65.0,950.0,2850.0
100,2019,North Salt Lake / Woods Cross Industrial District,150.0,8251.0,4202.0
101,2019,North Salt Lake Town Center,1347.0,401.0,1166.0
102,2019,North Shore,1.0,0.0,35.0
103,2019,North Station,5.0,8.0,66.0
104,2019,North Temple Center,1941.0,2617.0,8120.0
105,2019,Oakwood Village Center,712.0,2556.0,3605.0
106,2019,Ogden 12th Street,165.0,2891.0,8835.0
107,2019,Ogden Airport Industrial District,43.0,7904.0,23598.0
108,2019,Ogden Downtown,2451.0,12924.0,55062.0
109,2019,Ogden Harrison Boulevard North,581.0,1248.0,5757.0
110,2019,Ogden Harrison Boulevard South,357.0,2802.0,3990.0
111,2019,Ogden-Hinckley Airport Center,0.0,3245.0,798.0
112,2019,Old Mill,0.0,18.0,105.0
113,2019,Olympia Hills,1.0,0.0,35.0
114,2019,Olympus Hills Center,0.0,618.0,315.0
115,2019,Oquirrh View Center,0.0,32.0,105.0
116,2019,Orchard Drive 2200 South,131.0,673.0,176.0
117,2019,Pages Lane Center,444.0,345.0,154.0
118,2019,Parleys Foothill Center,0.0,855.0,245.0
119,2019,Plain City Gateway,1.0,0.0,57.0
120,2019,Plain City Market Center,0.0,335.0,285.0
121,2019,Pleasant Green,222.0,940.0,4550.0
122,2019,Pleasant View 2700 North,95.0,2056.0,4731.0
123,2019,Pleasant View Employment Center,4.0,296.0,1311.0
124,2019,Pleasant View Industrial Center,0.0,3200.0,1482.0
125,2019,Porter Rockwell,0.0,116.0,245.0
126,2019,Quarry Bend Center,528.0,1701.0,280.0
127,2019,Renaissance Towne Center,122.0,433.0,165.0
128,2019,Research Park,0.0,3675.0,595.0
129,2019,River Park,10.0,5228.0,1190.0
130,2019,River Trail Station,1.0,2328.0,1645.0
131,2019,Riverdale City Center,300.0,4010.0,3591.0
132,2019,Roper Yards,0.0,5002.0,5390.0
133,2019,Rose Park Center,63.0,463.0,455.0
134,2019,Roy Downtown,440.0,4255.0,16872.0
135,2019,Roy Station,844.0,990.0,2052.0
136,2019,S-Line Center,965.0,241.0,910.0
137,2019,Salt Lake 15th and 15th,1.0,84.0,350.0
138,2019,Salt Lake 900 West,218.0,195.0,5040.0
139,2019,Salt Lake City CBD,4445.0,63005.0,25305.0
140,2019,Salt Lake City East Downtown,3488.0,13254.0,18585.0
141,2019,Salt Lake City Northwest Quadrant,12.0,62109.0,61390.0
142,2019,Salt Lake Foothill Center,0.0,1883.0,280.0
143,2019,Salt Lake International Airport,0.0,500.0,210.0
144,2019,Sandy Union Park,1.0,1988.0,2975.0
145,2019,Sandy Village Center,173.0,3110.0,5215.0
146,2019,Sheep Lane Employment District,0.0,81.0,55.0
147,2019,SoDa Row,180.0,1274.0,1470.0
148,2019,Sorenson Research Park,603.0,4113.0,560.0
149,2019,South Jordan Gateway,699.0,5635.0,1610.0
150,2019,South Jordan Towne Center,344.0,4111.0,6510.0
151,2019,South Ogden City Center,368.0,3344.0,24282.0
152,2019,South Ogden Gateway,978.0,2527.0,14250.0
153,2019,South Ogden US 89,36.0,733.0,969.0
154,2019,South Salt Lake State Street,181.0,2680.0,7175.0
155,2019,St. Marks Hospital,0.0,816.0,2030.0
156,2019,Station Park,622.0,5188.0,286.0
157,2019,Sugarhouse,1409.0,5819.0,7910.0
158,2019,Summit Vista Center,0.0,1274.0,35.0
159,2019,Sunset SR 126,173.0,616.0,1562.0
160,2019,Syracuse City Center,167.0,1253.0,1287.0
161,2019,Syracuse SR 193 Center,111.0,44.0,1254.0
162,2019,Taylor's Landing,0.0,279.0,315.0
163,2019,Taylrosville West Point Center,99.0,855.0,1330.0
164,2019,The Cairns,1828.0,22643.0,18725.0
165,2019,The District,141.0,2896.0,2205.0
166,2019,The Point,0.0,1353.0,2415.0
167,2019,Union Park,1508.0,8886.0,11235.0
168,2019,University Gardens,187.0,318.0,2275.0
169,2019,Village Green Center,328.0,125.0,595.0
170,2019,Vista Station,1339.0,5635.0,1015.0
171,2019,Washington Terrace US 89,63.0,905.0,1596.0
172,2019,Weber State University,148.0,0.0,8208.0
173,2019,Weber State University Davis,1643.0,979.0,748.0
174,2019,West 12th Street,4.0,0.0,228.0
175,2019,West Bountiful Industrial District,3.0,79.0,165.0
176,2019,West Central Employment District,0.0,1713.0,3885.0
177,2019,West Haven City Center,278.0,1995.0,6384.0
178,2019,West Haven Midland Drive,961.0,687.0,32775.0
179,2019,West Jordan City Center,252.0,2148.0,9520.0
180,2019,West Jordan Industrial District,0.0,6199.0,8505.0
181,2019,West Ogden Center,379.0,505.0,19437.0
182,2019,West Point City Center,137.0,467.0,836.0
183,2019,West Point West Davis,4.0,0.0,22.0
184,2019,West Riverdale Center,3.0,1462.0,684.0
185,2019,West Roy Center,0.0,899.0,1083.0
186,2019,West Valley 6200 South 5600 West,0.0,684.0,140.0
187,2019,West Valley Redwood Center,1576.0,3079.0,3815.0
188,2019,West Warren Center,9.0,0.0,513.0
189,2019,West Weber,3.0,22.0,342.0
190,2019,West Weber Industrial Center,0.0,331.0,399.0
191,2019,WestBench,643.0,13.0,21735.0
192,2019,Westpointe Center,1.0,2282.0,1575.0
193,2019,Wheeler Village,1.0,24.0,114.0
194,2019,Woods Cross Business Park,0.0,107.0,165.0
195,2019,Woods Cross Station,0.0,378.0,77.0
196,2020,12600 South Mountain View Corridor,1.0,288.0,210.0
197,2020,21st and 21st,180.0,484.0,1820.0
198,2020,2300 East 3300 South,10.0,313.0,735.0
199,2020,2600 South Center,269.0,6473.0,737.0
200,2020,2700 South Station,244.0,1470.0,3710.0
201,2020,4100 South Redwood,0.0,877.0,1925.0
202,2020,4800 South Redwood,7.0,589.0,1190.0
203,2020,5400 South Redwood,442.0,2367.0,2765.0
204,2020,7th Street Sandy Point,58.0,458.0,1365.0
205,2020,900 East Station,5.0,368.0,1190.0
206,2020,9th and 9th Center,43.0,367.0,2485.0
207,2020,Alta Canyon Park Center,0.0,1684.0,945.0
208,2020,Antelope & Main Town Center,153.0,1032.0,308.0
209,2020,Ballpark,1634.0,9950.0,31815.0
210,2020,Bingham Junction,1759.0,5392.0,3185.0
211,2020,Bountiful 200 West,116.0,462.0,572.0
212,2020,Bountiful 500 South,302.0,1818.0,748.0
213,2020,Bountiful Downtown,150.0,1307.0,1309.0
214,2020,Business Depot Ogden,34.0,7643.0,5814.0
215,2020,Canyon Rim Center,0.0,818.0,455.0
216,2020,Cascade Village,72.0,278.0,70.0
217,2020,Centerville Downtown,722.0,4578.0,2321.0
218,2020,Church & Hwy 193 Town Center,120.0,368.0,198.0
219,2020,Clinton Town Center,379.0,3383.0,2411.0
220,2020,Copperton Community Center,36.0,3.0,105.0
221,2020,Cottonwood Heights Fort Union,278.0,2435.0,4340.0
222,2020,Cottonwood Village,76.0,1127.0,280.0
223,2020,Courthouse Downtown,114.0,186.0,726.0
224,2020,Daybreak,0.0,674.0,455.0
225,2020,Decker Lake Center,425.0,863.0,175.0
226,2020,Downtown Clearfield,1710.0,2656.0,3597.0
227,2020,Downtown Kaysville,471.0,2975.0,1749.0
228,2020,Downtown Riverton,338.0,1444.0,4900.0
229,2020,Downtown South Salt Lake,273.0,6607.0,10010.0
230,2020,Draper City Center,103.0,3751.0,5110.0
231,2020,Draper Kimballs Lane Station,56.0,102.0,945.0
232,2020,East Antelope Center,420.0,1349.0,770.0
233,2020,East Gate Business Center,5.0,1246.0,671.0
234,2020,East Park Lane,1.0,554.0,99.0
235,2020,Fairbourne Station,451.0,2098.0,3010.0
236,2020,Farr West 2700 North,9.0,106.0,684.0
237,2020,Fashion Place West,432.0,4692.0,18340.0
238,2020,Fireclay Center,991.0,668.0,2310.0
239,2020,Five Points,764.0,2678.0,11229.0
240,2020,Fore Lakes Center,1013.0,530.0,700.0
241,2020,Fort Union Canyon Center,19.0,167.0,455.0
242,2020,Foxboro,272.0,844.0,187.0
243,2020,Freeport Center,17.0,7206.0,968.0
244,2020,Gardner Village,280.0,697.0,210.0
245,2020,Gateway Crossing,283.0,714.0,517.0
246,2020,Gentile & Fairfield Town Center,447.0,391.0,396.0
247,2020,Glendale Center,0.0,78.0,35.0
248,2020,Gordon & Fairfield Town Center,53.0,312.0,385.0
249,2020,Granary District,1039.0,5339.0,14595.0
250,2020,Harrisville US 89,20.0,11.0,855.0
251,2020,Herriman Porter Rockwell Center,99.0,78.0,210.0
252,2020,Herriman Town Center,1045.0,1092.0,12355.0
253,2020,Highberry Center,829.0,3573.0,1890.0
254,2020,Highlands Loop Center,765.0,762.0,630.0
255,2020,Highline,928.0,2279.0,875.0
256,2020,Historic Magna Main Street,40.0,313.0,2205.0
257,2020,Historic Sandy Station,165.0,275.0,4585.0
258,2020,Holladay City Center,179.0,3201.0,4760.0
259,2020,Holladay Crossroads,0.0,491.0,875.0
260,2020,Hunter Town Center,21.0,475.0,1575.0
261,2020,Hwy 89 & Gordon Town Center,0.0,4.0,22.0
262,2020,Independence,1161.0,1436.0,28840.0
263,2020,International Center,0.0,18782.0,5285.0
264,2020,Ivy Place Center,1.0,1273.0,525.0
265,2020,Jones Ranch,54.0,0.0,105.0
266,2020,Jordan Bluffs,670.0,798.0,210.0
267,2020,Jordan Landing,0.0,5025.0,2940.0
268,2020,Jordan Valley,420.0,1111.0,1995.0
269,2020,Kaysville Business Park,14.0,2119.0,682.0
270,2020,Kearns Town Center,0.0,764.0,910.0
271,2020,Kearns Warehouse District,0.0,546.0,2135.0
272,2020,Lake Park Center,0.0,6609.0,455.0
273,2020,Layton Downtown,892.0,1730.0,1672.0
274,2020,Layton Industrial Center,3.0,2927.0,913.0
275,2020,Layton Midtown,3185.0,10342.0,6303.0
276,2020,Legacy Crossing,388.0,1336.0,176.0
277,2020,Legacy Gateway,181.0,687.0,341.0
278,2020,Lone Peak Parkway Employment Center,27.0,10568.0,4550.0
279,2020,Marketview Center,177.0,5.0,280.0
280,2020,Marmalade,1803.0,2113.0,9975.0
281,2020,Marriott-Slaterville Employment District,7.0,42.0,456.0
282,2020,Meadowbrook Station,673.0,4256.0,11410.0
283,2020,Midvale Center Station,647.0,369.0,1155.0
284,2020,Midvale Fort Union Station,119.0,561.0,385.0
285,2020,Midvale Main Street,229.0,936.0,9065.0
286,2020,Millcreek 2300 East,0.0,43.0,175.0
287,2020,Millcreek City Center,221.0,1845.0,4550.0
288,2020,Millcreek Station,171.0,1789.0,7525.0
289,2020,Millrock Employment Center,0.0,10903.0,2415.0
290,2020,Mountain View Village,18.0,3225.0,280.0
291,2020,Murray Downtown,1314.0,10575.0,24290.0
292,2020,Murray Industrial District,18.0,874.0,5600.0
293,2020,Murray Medical Park,59.0,762.0,3570.0
294,2020,Newgate Center,593.0,10361.0,36879.0
295,2020,North Ogden Downtown,236.0,1436.0,9234.0
296,2020,North Ogden Southtown,157.0,950.0,2907.0
297,2020,North Salt Lake / Woods Cross Industrial District,150.0,8321.0,4224.0
298,2020,North Salt Lake Town Center,1371.0,412.0,1144.0
299,2020,North Shore,1.0,0.0,35.0
300,2020,North Station,5.0,507.0,77.0
301,2020,North Temple Center,1983.0,2688.0,8225.0
302,2020,Oakwood Village Center,712.0,2562.0,3605.0
303,2020,Ogden 12th Street,165.0,2891.0,8835.0
304,2020,Ogden Airport Industrial District,43.0,7904.0,23598.0
305,2020,Ogden Downtown,2514.0,13469.0,55347.0
306,2020,Ogden Harrison Boulevard North,587.0,1248.0,5871.0
307,2020,Ogden Harrison Boulevard South,357.0,2802.0,3990.0
308,2020,Ogden-Hinckley Airport Center,0.0,3245.0,798.0
309,2020,Old Mill,0.0,18.0,105.0
310,2020,Olympia Hills,1.0,0.0,35.0
311,2020,Olympus Hills Center,0.0,618.0,315.0
312,2020,Oquirrh View Center,0.0,32.0,105.0
313,2020,Orchard Drive 2200 South,131.0,690.0,176.0
314,2020,Pages Lane Center,444.0,345.0,154.0
315,2020,Parleys Foothill Center,0.0,855.0,245.0
316,2020,Plain City Gateway,43.0,0.0,114.0
317,2020,Plain City Market Center,0.0,335.0,285.0
318,2020,Pleasant Green,225.0,940.0,4550.0
319,2020,Pleasant View 2700 North,103.0,2056.0,4788.0
320,2020,Pleasant View Employment Center,4.0,296.0,1311.0
321,2020,Pleasant View Industrial Center,0.0,3200.0,1482.0
322,2020,Porter Rockwell,0.0,116.0,245.0
323,2020,Quarry Bend Center,528.0,1806.0,315.0
324,2020,Renaissance Towne Center,122.0,472.0,165.0
325,2020,Research Park,0.0,3675.0,595.0
326,2020,River Park,10.0,5228.0,1190.0
327,2020,River Trail Station,1.0,2328.0,1645.0
328,2020,Riverdale City Center,420.0,4010.0,3648.0
329,2020,Roper Yards,0.0,5002.0,5390.0
330,2020,Rose Park Center,63.0,568.0,490.0
331,2020,Roy Downtown,440.0,4255.0,16872.0
332,2020,Roy Station,844.0,990.0,2052.0
333,2020,S-Line Center,965.0,241.0,910.0
334,2020,SLCC/RSL,0.0,291.0,70.0
335,2020,SW Salt Lake Employment District,0.0,170.0,70.0
336,2020,Salt Lake 15th and 15th,1.0,84.0,350.0
337,2020,Salt Lake 900 West,222.0,195.0,5075.0
338,2020,Salt Lake City CBD,5140.0,70873.0,26810.0
339,2020,Salt Lake City East Downtown,3674.0,13393.0,18725.0
340,2020,Salt Lake City Northwest Quadrant,12.0,64940.0,62580.0
341,2020,Salt Lake Foothill Center,0.0,1883.0,280.0
342,2020,Salt Lake International Airport,0.0,500.0,210.0
343,2020,Sandy Union Park,1.0,1988.0,2975.0
344,2020,Sandy Village Center,173.0,3113.0,5215.0
345,2020,Sheep Lane Employment District,0.0,81.0,55.0
346,2020,SoDa Row,188.0,1274.0,1505.0
347,2020,Sorenson Research Park,603.0,4165.0,595.0
348,2020,South Jordan Gateway,699.0,5643.0,1645.0
349,2020,South Jordan Towne Center,344.0,4111.0,6510.0
350,2020,South Ogden City Center,373.0,3344.0,24339.0
351,2020,South Ogden Gateway,978.0,2527.0,14250.0
352,2020,South Ogden US 89,36.0,733.0,969.0
353,2020,South Salt Lake State Street,183.0,2699.0,7210.0
354,2020,St. Marks Hospital,0.0,816.0,2030.0
355,2020,Station Park,622.0,5709.0,297.0
356,2020,Sugarhouse,1407.0,6458.0,7945.0
357,2020,Summit Vista Center,0.0,1274.0,35.0
358,2020,Sunset SR 126,184.0,615.0,1562.0
359,2020,Syracuse City Center,194.0,1397.0,1320.0
360,2020,Syracuse SR 193 Center,203.0,321.0,1276.0
361,2020,Taylor's Landing,0.0,279.0,315.0
362,2020,Taylrosville West Point Center,99.0,899.0,1330.0
363,2020,The Cairns,1833.0,23400.0,19005.0
364,2020,The District,141.0,2998.0,2275.0
365,2020,The Point,0.0,1353.0,2415.0
366,2020,Union Park,1512.0,8948.0,11235.0
367,2020,University Gardens,187.0,318.0,2275.0
368,2020,Village Green Center,328.0,148.0,630.0
369,2020,Vista Station,1360.0,5753.0,1085.0
370,2020,Washington Terrace US 89,63.0,905.0,1596.0
371,2020,Weber State University,148.0,0.0,8208.0
372,2020,Weber State University Davis,1643.0,979.0,748.0
373,2020,West 12th Street,4.0,0.0,228.0
374,2020,West Bountiful Industrial District,3.0,81.0,176.0
375,2020,West Central Employment District,0.0,1713.0,3885.0
376,2020,West Haven City Center,315.0,1995.0,6384.0
377,2020,West Haven Midland Drive,990.0,687.0,32832.0
378,2020,West Jordan City Center,283.0,2209.0,9555.0
379,2020,West Jordan Industrial District,0.0,6390.0,8645.0
380,2020,West Ogden Center,407.0,505.0,19551.0
381,2020,West Point City Center,313.0,805.0,869.0
382,2020,West Point West Davis,4.0,0.0,22.0
383,2020,West Riverdale Center,3.0,1462.0,684.0
384,2020,West Roy Center,2.0,899.0,1140.0
385,2020,West Valley 6200 South 5600 West,0.0,684.0,140.0
386,2020,West Valley Redwood Center,1576.0,3160.0,3850.0
387,2020,West Warren Center,9.0,0.0,513.0
388,2020,West Weber,3.0,22.0,342.0
389,2020,West Weber Industrial Center,0.0,331.0,399.0
390,2020,WestBench,643.0,13.0,21735.0
391,2020,Westpointe Center,1.0,2282.0,1575.0
392,2020,Wheeler Village,1.0,24.0,114.0
393,2020,Woods Cross Business Park,0.0,107.0,165.0
394,2020,Woods Cross Station,0.0,378.0,77.0
395,2025,12600 South Mountain View Corridor,48.0,679.0,315.0
396,2025,21st and 21st,207.0,484.0,1855.0
397,2025,2300 East 3300 South,10.0,313.0,735.0
398,2025,2600 South Center,291.0,6742.0,759.0
399,2025,2700 South Station,445.0,1292.0,3780.0
400,2025,4100 South Redwood,0.0,882.0,1925.0
401,2025,4800 South Redwood,10.0,654.0,1225.0
402,2025,5400 South Redwood,442.0,2384.0,2765.0
403,2025,7th Street Sandy Point,82.0,472.0,1435.0
404,2025,900 East Station,5.0,368.0,1190.0
405,2025,9th and 9th Center,43.0,367.0,2485.0
406,2025,Alta Canyon Park Center,0.0,1866.0,980.0
407,2025,Antelope & Main Town Center,153.0,1032.0,308.0
